gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,76,76,70
female,group C,some college,standard,completed,64,86,88
female,group B,master's degree,standard,none,94,90,88
male,group A,associate's degree,free/reduced,none,47,62,39
male,group C,some college,standard,none,77,73,79
female,group B,associate's degree,standard,none,73,88,81
female,group B,some college,standard,completed,85,96,97
male,group B,some college,free/reduced,none,39,39,35
male,group D,high school,free/reduced,completed,65,66,67
female,group B,high school,free/reduced,none,36,61,46
male,group C,associate's degree,standard,none,58,56,50
male,group D,associate's degree,standard,none,37,55,38
female,group B,high school,standard,none,69,76,68
male,group A,some college,standard,completed,77,75,72
female,group A,master's degree,standard,none,53,55,53
female,group C,some high school,standard,none,68,75,75
male,group C,high school,standard,none,87,93,86
female,group B,some high school,free/reduced,none,15,29,28
male,group C,master's degree,free/reduced,completed,45,41,51
female,group C,associate's degree,free/reduced,none,55,55,60
male,group D,high school,standard,none,70,66,62
female,group B,some college,free/reduced,completed,66,77,69
male,group D,some college,standard,none,49,54,57
female,group C,some high school,standard,none,66,68,76
male,group D,bachelor's degree,free/reduced,completed,75,67,79
male,group A,master's degree,free/reduced,none,78,73,73
male,group B,some college,standard,none,73,51,58
female,group C,bachelor's degree,standard,none,71,72,76
male,group C,high school,standard,none,69,73,69
female,group D,master's degree,standard,none,64,75,72
female,group D,some college,standard,none,66,71,72
female,group B,some college,standard,none,59,63,57
female,group E,master's degree,free/reduced,none,56,74,63
male,group D,some college,standard,none,38,46,42
male,group E,some college,standard,none,97,86,81
male,group E,associate's degree,standard,completed,80,81,80
female,group D,associate's degree,standard,none,78,79,88
female,group D,some high school,free/reduced,none,47,63,54
female,group D,associate's degree,free/reduced,completed,70,92,83
male,group B,associate's degree,free/reduced,none,62,57,59
male,group C,associate's degree,free/reduced,none,54,66,53
female,group C,associate's degree,standard,none,63,75,73
female,group B,associate's degree,standard,none,48,55,64
male,group B,some college,free/reduced,completed,60,62,66
female,group E,associate's degree,free/reduced,none,53,55,58
male,group B,associate's degree,standard,none,60,57,58
female,group A,associate's degree,standard,completed,56,64,62
female,group C,high school,standard,none,70,70,79
female,group D,associate's degree,free/reduced,completed,61,75,71
male,group C,high school,standard,completed,86,87,87
male,group E,some college,standard,none,55,52,47
male,group E,associate's degree,free/reduced,completed,79,67,65
male,group C,some college,standard,none,56,39,45
male,group D,high school,standard,none,91,74,76
female,group C,some high school,free/reduced,completed,67,81,91
female,group C,high school,free/reduced,none,34,42,43
female,group E,associate's degree,standard,completed,87,81,91
male,group D,associate's degree,standard,none,54,53,52
male,group D,some college,standard,completed,62,55,54
female,group C,some high school,free/reduced,none,3,13,13
male,group E,bachelor's degree,free/reduced,completed,84,73,73
male,group A,some high school,free/reduced,none,36,44,36
male,group A,associate's degree,free/reduced,none,62,66,57
female,group C,associate's degree,standard,none,74,75,74
female,group D,some high school,standard,none,61,53,58
male,group B,some high school,standard,none,66,65,66
male,group D,some high school,free/reduced,none,49,41,34
female,group C,some college,standard,none,62,69,77
male,group B,associate's degree,free/reduced,none,63,55,56
female,group C,associate's degree,standard,none,34,68,56
female,group D,some college,free/reduced,completed,62,67,74
male,group D,some college,standard,completed,68,54,62
female,group A,associate's degree,free/reduced,none,40,54,48
male,group C,some high school,free/reduced,none,58,61,53
male,group C,some high school,standard,none,44,52,45
male,group B,associate's degree,free/reduced,none,47,36,37
male,group E,some high school,standard,none,32,25,18
male,group A,bachelor's degree,standard,completed,76,82,84
female,group D,some high school,standard,completed,60,70,71
female,group E,master's degree,standard,none,58,63,68
female,group B,associate's degree,standard,none,45,49,45
male,group B,high school,free/reduced,none,44,49,50
male,group A,some college,free/reduced,completed,54,44,52
male,group E,associate's degree,standard,none,72,61,63
male,group D,high school,free/reduced,none,44,34,29
female,group C,some college,standard,none,69,85,81
female,group C,some college,free/reduced,none,80,86,84
female,group D,associate's degree,standard,none,66,69,75
female,group A,some college,standard,none,55,66,62
female,group D,some high school,standard,none,69,89,81
female,group C,bachelor's degree,standard,none,66,75,74
male,group C,high school,free/reduced,none,30,29,36
male,group C,high school,standard,none,75,76,67
male,group C,associate's degree,free/reduced,completed,44,43,48
female,group B,some college,standard,none,80,84,87
male,group C,associate's degree,free/reduced,completed,82,81,77
male,group B,some high school,standard,completed,70,62,67
female,group E,some college,standard,completed,67,72,67
female,group D,some college,free/reduced,none,57,70,63
female,group D,bachelor's degree,standard,none,62,70,64
male,group B,some college,standard,none,80,72,72
male,group D,bachelor's degree,standard,completed,70,75,75
female,group D,associate's degree,standard,none,84,87,85
male,group B,high school,standard,completed,58,49,49
male,group C,some college,standard,completed,93,90,91
female,group C,some college,standard,none,58,65,67
female,group D,master's degree,standard,none,92,99,95
male,group E,associate's degree,standard,completed,65,60,66
female,group B,associate's degree,free/reduced,none,49,71,68
female,group B,some high school,standard,none,72,65,74
female,group D,associate's degree,free/reduced,completed,75,84,100
male,group C,high school,standard,none,57,57,48
male,group A,associate's degree,standard,none,55,52,46
female,group D,some college,standard,none,47,54,51
female,group E,bachelor's degree,standard,completed,100,100,99
male,group C,high school,standard,none,83,76,70
female,group B,bachelor's degree,free/reduced,none,74,80,81
female,group D,bachelor's degree,standard,none,73,87,84
female,group D,some high school,standard,none,51,67,63
female,group C,some college,standard,none,59,67,63
female,group C,bachelor's degree,standard,completed,82,90,92
male,group B,associate's degree,standard,completed,93,94,94
female,group C,some college,standard,completed,92,90,94
male,group D,high school,free/reduced,none,65,55,51
male,group E,some college,standard,none,82,83,75
female,group B,high school,standard,none,83,90,85
male,group B,some high school,standard,none,75,68,69
male,group D,some college,standard,completed,61,80,72
male,group D,master's degree,standard,none,86,83,78
female,group A,bachelor's degree,standard,none,52,52,49
male,group D,master's degree,standard,none,94,85,85
male,group C,some high school,free/reduced,completed,57,36,36
male,group E,some college,free/reduced,completed,82,78,75
female,group C,some college,standard,completed,77,81,84
male,group D,bachelor's degree,free/reduced,completed,73,76,79
male,group C,bachelor's degree,standard,none,58,58,44
male,group B,some high school,standard,completed,46,56,41
male,group E,high school,standard,none,67,51,61
female,group C,associate's degree,standard,none,63,61,65
male,group D,some college,standard,completed,67,65,64
female,group D,some high school,standard,none,78,71,73
female,group C,some college,free/reduced,none,62,58,62
female,group E,some college,free/reduced,completed,38,57,53
male,group A,high school,standard,none,55,41,49
male,group D,some college,standard,none,88,70,78
female,group C,some college,free/reduced,none,17,44,28
male,group B,some high school,standard,none,90,84,71
male,group C,associate's degree,free/reduced,none,72,67,61
female,group D,bachelor's degree,standard,completed,67,70,83
male,group E,associate's degree,free/reduced,completed,98,100,94
male,group A,some high school,standard,completed,58,62,67
male,group A,bachelor's degree,standard,none,78,71,73
female,group B,associate's degree,standard,completed,64,70,65
male,group D,bachelor's degree,standard,none,54,54,45
male,group D,some high school,standard,none,67,69,65
female,group C,some college,standard,completed,73,85,86
female,group E,high school,free/reduced,completed,65,75,83
male,group B,some college,free/reduced,none,60,60,64
female,group B,associate's degree,standard,completed,57,88,82
male,group D,associate's degree,free/reduced,none,61,59,64
male,group B,associate's degree,free/reduced,completed,82,75,76
female,group E,some college,free/reduced,completed,75,88,83
male,group B,master's degree,free/reduced,none,51,49,50
male,group C,high school,standard,none,57,50,48
female,group E,master's degree,standard,none,85,96,86
female,group C,bachelor's degree,standard,completed,93,100,97
male,group C,high school,free/reduced,completed,54,50,56
female,group B,master's degree,free/reduced,completed,61,72,78
female,group B,high school,standard,completed,68,83,77
female,group C,some college,free/reduced,completed,63,70,74
male,group A,high school,standard,completed,73,72,78
male,group E,some high school,standard,none,94,90,79
female,group D,some college,standard,none,76,82,76
female,group C,associate's degree,standard,none,62,72,70
female,group C,bachelor's degree,free/reduced,completed,38,46,53
female,group C,master's degree,standard,completed,80,91,90
female,group B,high school,free/reduced,completed,43,55,55
female,group C,associate's degree,standard,completed,69,82,82
female,group B,master's degree,free/reduced,completed,54,69,61
female,group D,some high school,standard,completed,99,100,100
male,group C,master's degree,free/reduced,completed,61,73,72
female,group C,some college,free/reduced,none,43,60,70
female,group E,high school,standard,none,52,46,46
female,group D,associate's degree,standard,none,61,71,70
male,group C,some high school,free/reduced,completed,43,53,49
male,group C,associate's degree,free/reduced,completed,60,62,68
male,group E,high school,standard,none,82,71,66
male,group D,some high school,standard,completed,58,62,65
male,group B,some high school,free/reduced,none,49,56,40
female,group C,bachelor's degree,standard,none,73,88,92
female,group E,associate's degree,standard,none,64,69,70
male,group D,some college,standard,completed,74,85,77
female,group B,some high school,standard,none,61,61,67
male,group D,some college,standard,completed,77,57,61
female,group C,master's degree,standard,completed,64,79,83
male,group D,associate's degree,standard,none,61,51,47
male,group C,some high school,free/reduced,completed,58,71,70
male,group E,high school,free/reduced,none,56,58,48
female,group B,some college,free/reduced,none,41,57,56
female,group B,bachelor's degree,free/reduced,none,73,77,74
female,group C,associate's degree,standard,completed,63,88,84
female,group D,some college,free/reduced,none,63,85,82
male,group C,associate's degree,standard,none,71,81,65
female,group B,associate's degree,standard,none,57,72,68
male,group C,some college,standard,none,56,40,47
male,group D,some high school,standard,completed,71,70,78
male,group E,bachelor's degree,standard,none,82,64,59
male,group E,high school,standard,completed,83,83,76
female,group B,some college,free/reduced,none,78,76,74
female,group B,some college,free/reduced,none,54,59,62
male,group D,some high school,free/reduced,completed,76,75,82
male,group C,some college,free/reduced,none,31,29,22
female,group C,high school,free/reduced,none,47,59,59
male,group C,associate's degree,free/reduced,completed,65,55,61
male,group E,high school,standard,completed,88,89,83
male,group B,some high school,standard,completed,85,85,75
female,group E,associate's degree,free/reduced,completed,82,81,87
female,group C,high school,free/reduced,none,37,46,40
male,group B,high school,free/reduced,none,70,77,70
male,group B,some high school,standard,completed,56,56,53
female,group D,high school,standard,completed,60,68,77
male,group B,associate's degree,standard,none,87,81,70
female,group C,some high school,free/reduced,none,56,63,67
male,group D,some high school,standard,none,81,81,77
female,group B,associate's degree,standard,completed,55,67,77
female,group E,master's degree,free/reduced,none,47,54,49
female,group C,some college,standard,none,69,76,73
